(0.2683763326109031+0.47588013316064304j),(0.8220628797940943+0.961504152513826j),(0.5929456692520647+0.42428956117115335j),(0.16005875547878567+0.463143966122499j),(0.6510972940572097+0.6107445107323152j),(0.2145766117837895+0.5900346792265335j),(0.1981211363394365+0.4217738176111877j),(0.050728514801357316+0.37268030327707147j),(0.5178449366328256+0.16692232976271937j),(0.11857042923818939+0.47221269887379724j),(0.8308616099360235+0.4243757907147291j),(0.5842290289476282+0.6009909891617147j),(0.06925627453583993+0.7304658771546705j),(0.4727208814096908+0.5539639337360646j),(0.6521693653338373+0.5918329259940799j),(0.8699489649316343+0.1847673791362503j)
(0.5774732602710535+0.019785029998001136j),(0.04985312248149987+0.7774858414970867j),(0.38277835207763444+0.5010169251069302j),(0.1454780898794571+0.03701691049359224j),(0.46178051963467115+0.16403843274786178j),(0.41480389797711315+0.23438236549973246j),(0.8886867680790191+0.917068304953661j),(0.6204575832254497+0.7162338544824892j),(0.5641659761079556+0.7314751767172304j),(0.46351006679736306+0.19516446345641691j),(0.48052904284223996+0.5075596018703437j),(0.9024166916556814+0.392334967642057j),(0.5561202629943296+0.9788853405838427j),(0.47680958842086396+0.257532384937617j),(0.25346594289729774+0.6686676534456707j),(0.05855007093931319+0.1660083518301655j)
(0.33196709414104375+0.6396561133873968j),(0.8932389553187243+0.890637147167553j),(0.9428943309875788+0.7653678159163697j),(0.6878715557482165+0.4224821141192121j),(0.8128194203369641+0.24635768423830018j),(0.048306702743113994+0.5411456381909904j),(0.20486829300751763+0.1792875090920949j),(0.04043219833017464+0.9484580622331652j),(0.2117792660824641+0.06959809133106798j),(0.2624580504681031+0.7074770528420821j),(0.5586860235792716+0.9964376273000718j),(0.7294229161949545+0.9520264012131243j),(0.8267696607840411+0.31671206695261556j),(0.006828364976245838+0.3828764620422025j),(0.5498585948743939+0.620687043650324j),(0.10362510451209372+0.5581171878837249j)
(0.7864578018093022+0.9669196958266011j),(0.030911455990925485+0.5399532599546433j),(0.4745304695504269+0.8368562193309775j),(0.7167740450035928+0.976125834522509j),(0.8274250881343661+0.6517672990587404j),(0.8229969250147371+0.1464591896696783j),(0.9821543744385882+0.24329898693557372j),(0.17827996254479817+0.5846995101142475j),(0.7363330978087803+0.3918638396763705j),(0.07110321870432867+0.8140523440362051j),(0.8767508200109012+0.779099250002126j),(0.11807300495710793+0.42283397136043355j),(0.879001415741602+0.5739794281772592j),(0.6553062898098256+0.10484876596153636j),(0.25961990580619654+0.8142624837104543j),(0.5894488484260588+0.7596212141229469j)
(0.005811707289370194+0.5827219821547968j),(0.84442922352258+0.040645907838570916j),(0.26645937304887135+0.6661852388294576j),(0.6744563701160965+0.9989150338902577j),(0.11630720851028553+0.29663934018295535j),(0.06176193393426388+0.13944858613192668j),(0.19410079292916915+0.4165180181722411j),(0.9028947174329969+0.869313415078239j),(0.6888123883723903+0.24250354482916192j),(0.5104521901131527+0.06447595774218895j),(0.041538488630467274+0.03431006303634543j),(0.7519288070279763+0.12983560104138414j),(0.02288131586274711+0.4147472998612153j),(0.8104297751898575+0.7324467270337465j),(0.7604336333958587+0.6893018080068068j),(0.3191392505496813+0.36196851408114317j)
(0.3412606060192921+0.25379515854618806j),(0.11076789165358125+0.6073740212874672j),(0.6090877562354838+0.04435028478634906j),(0.02165573137300847+0.8563666817076243j),(0.2310379989015766+0.6998580801835905j),(0.29831776608058247+0.20847531057147528j),(0.9548905409755385+0.7143451880864676j),(0.8306538547846466+0.8300344721585842j),(0.3190695251799295+0.8354260189645102j),(0.6209444792612379+0.33767221624730903j),(0.315383986341914+0.8157535569885519j),(0.09512540319929985+0.35215265577666155j),(0.8001315096509977+0.835965418353349j),(0.8889948442181734+0.5188857717607832j),(0.6097063961245031+0.13212264626845627j),(0.8253824734533931+0.5336011446195916j)
(0.06166439811551605+0.1947100326169955j),(0.13167557486270953+0.4200111705203642j),(0.9693343665501412+0.9495457516763556j),(0.27946368311684766+0.9721653547776526j),(0.753105263801112+0.7434884639076643j),(0.5668934794875652+0.10472498913829176j),(0.4892872691324913+0.1288043599588562j),(0.7115403950151518+0.19797145677403816j),(0.16527291533053579+0.9627786056309283j),(0.44046421113466405+0.06514692722963855j),(0.907169397132033+0.016384579212735173j),(0.23694904825018925+0.3027069539605365j),(0.8375211356485368+0.6211692694732155j),(0.8906921081708544+0.08288288796835619j),(0.42993490332504347+0.23992205853542004j),(0.8222568276826523+0.8997178095181516j)
(0.7601071670365817+0.7131048672209344j),(0.3422684344939131+0.8945876726770857j),(0.48758696915774535+0.9306389767143656j),(0.48927445901018674+0.9657381676952682j),(0.2499180148080039+0.10650201680589555j),(0.12881430139741268+0.9960710002512349j),(0.5466103067907517+0.26416750639208875j),(0.6861818230124719+0.34022880342705053j),(0.42068011068272215+0.36532416234253473j),(0.03364079354560945+0.2546149708663724j),(0.28589830411525385+0.9794656566445478j),(0.060979916160004644+0.6052932666341676j),(0.10807090982590817+0.28281484413797797j),(0.9833745486731065+0.49099646814139697j),(0.7114688021004701+0.15016843582985007j),(0.8518955311215036+0.4612335327982239j)
(0.045261315018645165+0.6570529399002845j),(0.4372025333866961+0.43643424185385493j),(0.5831671383104957+0.6328536974765543j),(0.45829113091165685+0.9054214061039927j),(0.7283569215561093+0.31903438778192605j),(0.14579347778121865+0.9882407418614685j),(0.671407510704314+0.4827998654727379j),(0.5260786147824162+0.3753887511026772j),(0.008551075266260089+0.17188058795145522j),(0.8205326334613051+0.3771231161610904j),(0.18421392924586877+0.789621201234551j),(0.45738511661326275+0.6073165759092671j),(0.3528768671472744+0.013028114037695326j),(0.1731518934135109+0.17939795937118708j),(0.7794197625976271+0.14881412617439993j),(0.23665273014047394+0.3816885047709394j)
(0.3551578958542546+0.49377893177381926j),(0.11242106250332229+0.9944364224370457j),(0.0342344672134931+0.5338108787356092j),(0.00482154609661678+0.20397653779470604j),(0.6693148942421466+0.7023139552994617j),(0.5967492780334194+0.1383620932635179j),(0.13985403697633747+0.05341732306234037j),(0.2957570171286483+0.7553722348959419j),(0.581395159358247+0.16305126018414895j),(0.5765949017467652+0.8959810613586566j),(0.5927923547918487+0.1835034047551396j),(0.6340499248207944+0.04827284544260568j),(0.09496963636999833+0.7936141659216183j),(0.2611680816854325+0.8777519130516183j),(0.4099056585865515+0.18926767597758198j),(0.17465181879906622+0.9268749943359521j)
